pm25Grade1h,pm10Value24,so2Value,pm10Grade1h,pm10Value,o3Grade,pm25Flag,khaiGrade,pm25Value,no2Flag,mangName,stationName,no2Value,so2Grade,stationCode,coFlag,khaiValue,coValue,pm10Flag,sidoName,pm25Value24,no2Grade,o3Flag,pm25Grade,so2Flag,coGrade,dataTime,pm10Grade,o3Value
2.0,21,0.002,1.0,20,1.0,,1.0,19,,도시대기,다사읍,0.007,1.0,422205,,50,0.3,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.018
2.0,19,0.001,1.0,19,1.0,,1.0,16,,도시대기,본동,0.009,1.0,422206,,50,0.5,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.023
2.0,23,0.003,1.0,29,1.0,,1.0,23,,도시대기,내당동,0.008,1.0,422207,,50,0.4,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.027
1.0,23,0.002,1.0,19,1.0,,1.0,11,,도시대기,침산동,0.011,1.0,422208,,43,0.4,,대구,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.026
1.0,20,0.002,1.0,20,1.0,,1.0,12,,도시대기,화원읍,0.006,1.0,422209,,43,0.5,,대구,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.026
1.0,18,0.004,1.0,15,1.0,,1.0,15,,도로변대기,충혼탑,0.006,1.0,422211,,41,0.5,,대구,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.025
1.0,21,0.003,1.0,22,1.0,,1.0,13,,도시대기,군위읍,0.008,1.0,422212,,47,0.3,,대구,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.011
1.0,15,0.003,1.0,12,1.0,,1.0,14,,도시대기,신흥,0.018,1.0,823611,,40,0.2,,인천,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.023
1.0,20,0.003,1.0,18,1.0,,1.0,13,,도로변대기,서해,0.017,1.0,823612,,41,0.3,,인천,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.025
2.0,29,0.003,2.0,38,2.0,,2.0,24,,도시대기,영종,0.005,1.0,823613,,67,0.3,,인천,20,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.050
1.0,18,0.002,1.0,18,2.0,,2.0,9,,도시대기,송림,0.013,1.0,823621,,51,0.4,,인천,10,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.030
1.0,21,0.002,1.0,20,1.0,,1.0,8,,도시대기,구월동,0.006,1.0,823631,,35,0.6,,인천,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.016
1.0,26,0.003,1.0,28,2.0,,2.0,11,,도시대기,숭의,0.010,1.0,823632,,53,0.3,,인천,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.032
2.0,22,0.003,1.0,18,2.0,,2.0,21,,도로변대기,석바위,0.009,1.0,823633,,51,0.3,,인천,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.031
1.0,37,0.003,2.0,33,2.0,,2.0,15,,도로변대기,부평역,0.005,1.0,823634,,62,0.2,,인천,19,1.0,,2.0,,1.0,2025-07-07 01:00,2.0,0.043
1.0,24,0.002,1.0,16,1.0,,1.0,13,,도로변대기,남동,0.021,1.0,823636,통신장애,49,-,,인천,12,1.0,,1.0,,,2025-07-07 01:00,1.0,0.029
2.0,30,0.003,2.0,31,2.0,,2.0,17,,도시대기,주안,0.008,1.0,823637,,56,0.2,,인천,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.031
2.0,34,0.003,2.0,31,1.0,,2.0,18,,도시대기,부평,0.008,1.0,823641,,64,0.3,,인천,21,1.0,,2.0,,1.0,2025-07-07 01:00,2.0,0.028
2.0,26,0.003,1.0,27,2.0,,2.0,20,,도시대기,연희,0.010,1.0,823651,,54,0.3,,인천,17,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.033
2.0,30,0.004,1.0,29,1.0,,2.0,23,,도시대기,검단,0.008,1.0,823652,,69,0.3,,인천,23,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.023
2.0,29,0.004,2.0,32,1.0,,2.0,17,,도로변대기,중봉,0.015,1.0,823653,,56,0.3,,인천,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.026
1.0,24,0.003,2.0,40,1.0,,1.0,12,,도시대기,계산,0.012,1.0,823662,,44,0.5,,인천,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.026
,-,0.002,,-,1.0,통신장애,,-,,도시대기,효성,0.008,1.0,823663,,-,0.4,통신장애,인천,-,1.0,,,,1.0,2025-07-07 01:00,,0.029
,-,0.004,,-,1.0,통신장애,,-,,도로변대기,임학,0.011,1.0,823664,,-,0.4,통신장애,인천,-,1.0,,,,1.0,2025-07-07 01:00,,0.028
1.0,33,0.003,2.0,32,2.0,,2.0,13,,도시대기,고잔,0.006,1.0,823671,,53,0.3,,인천,14,1.0,,1.0,,1.0,2025-07-07 01:00,2.0,0.030
2.0,28,0.003,1.0,26,1.0,,2.0,16,,도시대기,서창,0.006,1.0,823672,,51,0.2,,인천,16,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.027
2.0,36,0.003,2.0,36,1.0,,2.0,24,,도시대기,석남,0.011,1.0,823681,,61,0.4,,인천,20,1.0,,2.0,,1.0,2025-07-07 01:00,2.0,0.029
2.0,28,0.003,1.0,21,2.0,,2.0,27,,도시대기,송해,0.003,1.0,823691,,72,0.2,,인천,24,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.040
,-,0.004,,-,1.0,통신장애,,-,,도시대기,동춘,0.006,1.0,823701,,-,0.3,통신장애,인천,-,1.0,,,,1.0,2025-07-07 01:00,,0.029
,-,0.004,,-,2.0,통신장애,,-,,도시대기,운서,0.005,1.0,823702,,-,0.4,통신장애,인천,-,1.0,,,,1.0,2025-07-07 01:00,,0.043
2.0,30,0.003,2.0,31,1.0,,2.0,20,,도로변대기,송현,0.015,1.0,823703,,59,0.3,,인천,19,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.019
2.0,29,0.002,2.0,32,1.0,,2.0,16,,도시대기,논현,0.008,1.0,823704,,51,0.3,,인천,16,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.023
1.0,16,0.003,1.0,16,2.0,,2.0,11,,도시대기,청라,0.014,1.0,823705,,54,0.4,,인천,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.034
2.0,28,0.003,1.0,24,2.0,,2.0,20,,도시대기,송도,0.007,1.0,823706,,54,0.3,,인천,17,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.031
1.0,31,0.003,1.0,24,1.0,,2.0,13,,도시대기,아암,0.009,1.0,823707,,54,0.3,,인천,17,1.0,,2.0,,1.0,2025-07-07 01:00,2.0,0.028
2.0,27,0.003,1.0,24,1.0,,2.0,18,,도시대기,원당,0.010,1.0,823801,,56,0.3,,인천,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.029
2.0,24,0.002,1.0,26,2.0,,2.0,23,,도시대기,길상,0.003,1.0,823802,,60,0.3,,인천,16,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.042
2.0,24,0.003,1.0,22,1.0,,2.0,19,,도시대기,삼산,0.008,1.0,823803,,54,0.3,,인천,17,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.028
1.0,14,0.002,1.0,15,2.0,,2.0,10,,항만,경인항,0.009,1.0,823901,,56,0.2,,인천,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.036
1.0,26,0.002,1.0,30,1.0,,1.0,13,,항만,인천항,0.020,1.0,823902,,43,0.2,,인천,10,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.022
